Type,Target,Master,Account,Customer,Department
IN,COSMOS_DIV,DIV,DIV,DIV,COSMOS_DIV
IN,COSMOS_FNC_PRDCT,FNC_PRDCT,,FNC_PRDCT,COSMOS_FNC_PRDCT
IN,COSMOS_LGL_ENTY,LGL_ENTY,LGL_ENTY,LGL_ENTY,LGL_ENTY
IN,DATA_TYP_CD,DATA_TYP_CD,DATA_TYP_CD,,DATA_TYP_CD
IN,GRP_POL_NBR,GRP_POL_NBR,GRP_POL_NBR,GRP_POL_NBR,GRP_POL_NBR
OUT,PS9_GL_CUST_A_NBR,,,GL_CUST_A,
IN,SRVC_TYP_CD,,SRVC_TYP_CD,,
IN,GL_IDB_A_DT,START_DATE_ACTIVE,START_DATE_ACTIVE,START_DATE_ACTIVE,START_DATE_ACTIVE
IN,GL_IDB_A_DT,END_DATE_ACTIVE,END_DATE_ACTIVE,END_DATE_ACTIVE,END_DATE_ACTIVE
OUT,PS9_GL_ACCT_A_NBR,,GL_ACCT_A_NBR,,
OUT,PS9_GL_DEPT_A_CD,,,,GL_DEPT_A
OUT,PS9_GL_LEG_ENTY_A_CD,COSMOS_BU,,,
OUT,PS9_GL_LOC_A_NBR,COSMOS_LOC,,,
OUT,PS9_GL_PRDCT_A_CD,COSMOS_PROD,,,
OUT,PS9_GL_SEG_A_CD,COSMOS_OU,,,
IN,CAP_DED_IND,,CAP_DED_IND,,
IN,CAP_DED_TYP,,CAP_DED_TYP,,
